TREE_ID,MP_CONST,NODE_TYPE,MP_SC_FLD,NODE_ID,TECH_NAME,_tree_id,PARENT_ID,TREE_TYPE,MP_SC_TAB
/SEPA_CT_UNES                 ,,ELEM,RWBTR                         ,N_0176201200,InstdAmt                                          ,/SEPA_CT_UNES,N_0206686030,PAYM,FPAYH                         
/SEPA_CT_UNES                 ,,ELEM,                              ,N_0179888070,CreDtTm                                           ,/SEPA_CT_UNES,N_9961450310,PAYM,                              
/SEPA_CT_UNES                 ,,ELEM,                              ,N_0206686030,Amt                                               ,/SEPA_CT_UNES,N_9145273120,PAYM,                              
/SEPA_CT_UNES                 ,,ELEM,ZIBAN                         ,N_0639541490,IBAN                                              ,/SEPA_CT_UNES,N_1725392490,PAYM,FPAYH                         
/SEPA_CT_UNES                 ,-,ATOM,                              ,N_0763355730,-                                                 ,/SEPA_CT_UNES,N_6289915400,PAYM,                              
/SEPA_CT_UNES                 ,,ATOM,DATLO                         ,N_0843213020,MM                                                ,/SEPA_CT_UNES,N_0179888070,PAYM,SYST                          
/SEPA_CT_UNES                 ,,ATOM,DOC1R                         ,N_0856187240,DOC1R(4)                                          ,/SEPA_CT_UNES,N_6289915400,PAYM,FPAYH                         
/SEPA_CT_UNES                 ,,ELEM,                              ,N_0875432660,RmtInf                                            ,/SEPA_CT_UNES,N_9145273120,PAYM,                              
/SEPA_CT_UNES                 ,,ATOM,TEXT                          ,N_0933751040,REFERENCE3                                        ,/SEPA_CT_UNES,N_7493536070,PAYM,DMEE_PAYD                     
/SEPA_CT_UNES                 ,,ELEM,                              ,N_1114124980,CdtrAcct                                          ,/SEPA_CT_UNES,N_9145273120,PAYM,                              
/SEPA_CT_UNES                 ,,ELEM,                              ,N_1307819380,Id                                                ,/SEPA_CT_UNES,N_1769383930,PAYM,                              
/SEPA_CT_UNES                 ,,XMAT,                              ,N_1348246140,xmlns:xsi                                         ,/SEPA_CT_UNES,N_4880705930,PAYM,                              
/SEPA_CT_UNES                 ,,ATOM,AUSFD                         ,N_1374946860,MM                                                ,/SEPA_CT_UNES,N_3212123950,PAYM,FPAYH                         
/SEPA_CT_UNES                 ,,ATOM,DATLO                         ,N_1420837010,DD                                                ,/SEPA_CT_UNES,N_0179888070,PAYM,SYST                          
/SEPA_CT_UNES                 ,,ELEM,                              ,N_1489713350,PmtInf                                            ,/SEPA_CT_UNES,N_7251154690,PAYM,                              
/SEPA_CT_UNES                 ,,ELEM,                              ,N_1600557490,FinInstnId                                        ,/SEPA_CT_UNES,N_8123082880,PAYM,                              
/SEPA_CT_UNES                 ,,ELEM,                              ,N_1725392490,Id                                                ,/SEPA_CT_UNES,N_1114124980,PAYM,                              
/SEPA_CT_UNES                 ,,ELEM,                              ,N_1761132200,Nm                                                ,/SEPA_CT_UNES,N_4457909410,PAYM,                              
/SEPA_CT_UNES                 ,,ELEM,                              ,N_1769383930,DbtrAcct                                          ,/SEPA_CT_UNES,N_1489713350,PAYM,                              
/SEPA_CT_UNES                 ,,ELEM,                              ,N_1781756050,UltmtCdtr                                         ,/SEPA_CT_UNES,N_9145273120,PAYM,                              
/SEPA_CT_UNES                 ,,ELEM,                              ,N_1863004460,NbOfTxs                                           ,/SEPA_CT_UNES,N_9961450310,PAYM,                              
/SEPA_CT_UNES                 ,,ELEM,                              ,N_2063037070,CtrlSum                                           ,/SEPA_CT_UNES,N_9961450310,PAYM,                              
/SEPA_CT_UNES                 ,SEPA,ELEM,                              ,N_2147266940,Cd                                                ,/SEPA_CT_UNES,N_5757152900,PAYM,                              
/SEPA_CT_UNES                 ,-,ATOM,                              ,N_2225536670,-                                                 ,/SEPA_CT_UNES,N_0179888070,PAYM,                              
/SEPA_CT_UNES                 ,,ELEM,LAND1                         ,N_2225746230,Ctry                                              ,/SEPA_CT_UNES,N_9926185740,PAYM,FPAYHX                        
